,date,default,isPartial,delta
20835,2021-03-20 00:00:00,62,False,-0.03125
20836,2021-03-20 01:00:00,61,False,-0.016129032258064516
20837,2021-03-20 02:00:00,70,False,0.14754098360655737
20838,2021-03-20 03:00:00,79,False,0.12857142857142856
20839,2021-03-20 04:00:00,81,False,0.02531645569620253
20840,2021-03-20 05:00:00,72,False,-0.1111111111111111
20841,2021-03-20 06:00:00,67,False,-0.06944444444444445
20842,2021-03-20 07:00:00,60,False,-0.1044776119402985
20843,2021-03-20 08:00:00,56,False,-0.06666666666666667
20844,2021-03-20 09:00:00,55,False,-0.017857142857142856
20845,2021-03-20 10:00:00,55,False,0.0
20846,2021-03-20 11:00:00,52,False,-0.05454545454545454
20847,2021-03-20 12:00:00,54,False,0.038461538461538464
20848,2021-03-20 13:00:00,52,False,-0.037037037037037035
20849,2021-03-20 14:00:00,54,False,0.038461538461538464
20850,2021-03-20 15:00:00,54,False,0.0
20851,2021-03-20 16:00:00,53,False,-0.018518518518518517
20852,2021-03-20 17:00:00,54,False,0.018867924528301886
20853,2021-03-20 18:00:00,53,False,-0.018518518518518517
20854,2021-03-20 19:00:00,53,False,0.0
20855,2021-03-20 20:00:00,54,False,0.018867924528301886
20856,2021-03-20 21:00:00,56,False,0.037037037037037035
20857,2021-03-20 22:00:00,58,False,0.03571428571428571
20858,2021-03-20 23:00:00,58,False,0.0
20859,2021-03-21 00:00:00,60,False,0.034482758620689655
20860,2021-03-21 01:00:00,60,False,0.0
20861,2021-03-21 02:00:00,62,False,0.03333333333333333
20862,2021-03-21 03:00:00,63,False,0.016129032258064516
20863,2021-03-21 04:00:00,65,False,0.031746031746031744
20864,2021-03-21 05:00:00,63,False,-0.03076923076923077
20865,2021-03-21 06:00:00,59,False,-0.06349206349206349
20866,2021-03-21 07:00:00,53,False,-0.1016949152542373
20867,2021-03-21 08:00:00,53,False,0.0
20868,2021-03-21 09:00:00,53,False,0.0
20869,2021-03-21 10:00:00,56,False,0.05660377358490566
20870,2021-03-21 11:00:00,53,False,-0.05357142857142857
20871,2021-03-21 12:00:00,54,False,0.018867924528301886
20872,2021-03-21 13:00:00,54,False,0.0
20873,2021-03-21 14:00:00,57,False,0.05555555555555555
20874,2021-03-21 15:00:00,56,False,-0.017543859649122806
20875,2021-03-21 16:00:00,55,False,-0.017857142857142856
20876,2021-03-21 17:00:00,55,False,0.0
20877,2021-03-21 18:00:00,54,False,-0.01818181818181818
20878,2021-03-21 19:00:00,55,False,0.018518518518518517
20879,2021-03-21 20:00:00,55,False,0.0
20880,2021-03-21 21:00:00,56,False,0.01818181818181818
20881,2021-03-21 22:00:00,62,False,0.10714285714285714
20882,2021-03-21 23:00:00,65,False,0.04838709677419355
20883,2021-03-22 00:00:00,70,False,0.07692307692307693
20884,2021-03-22 01:00:00,74,False,0.05714285714285714
20885,2021-03-22 02:00:00,82,False,0.10810810810810811
20886,2021-03-22 03:00:00,87,False,0.06097560975609756
20887,2021-03-22 04:00:00,91,False,0.04597701149425287
20888,2021-03-22 05:00:00,89,False,-0.02197802197802198
20889,2021-03-22 06:00:00,86,False,-0.033707865168539325
20890,2021-03-22 07:00:00,85,False,-0.011627906976744186
20891,2021-03-22 08:00:00,88,False,0.03529411764705882
20892,2021-03-22 09:00:00,90,False,0.022727272727272728
20893,2021-03-22 10:00:00,89,False,-0.011111111111111112
20894,2021-03-22 11:00:00,82,False,-0.07865168539325842
20895,2021-03-22 12:00:00,83,False,0.012195121951219513
20896,2021-03-22 13:00:00,87,False,0.04819277108433735
20897,2021-03-22 14:00:00,89,False,0.022988505747126436
20898,2021-03-22 15:00:00,90,False,0.011235955056179775
20899,2021-03-22 16:00:00,82,False,-0.08888888888888889
20900,2021-03-22 17:00:00,80,False,-0.024390243902439025
20901,2021-03-22 18:00:00,78,False,-0.025
20902,2021-03-22 19:00:00,75,False,-0.038461538461538464
20903,2021-03-22 20:00:00,77,False,0.02666666666666667
20904,2021-03-22 21:00:00,76,False,-0.012987012987012988
20905,2021-03-22 22:00:00,74,False,-0.02631578947368421
20906,2021-03-22 23:00:00,74,False,0.0
20907,2021-03-23 00:00:00,77,False,0.04054054054054054
20908,2021-03-23 01:00:00,79,False,0.025974025974025976
20909,2021-03-23 02:00:00,88,False,0.11392405063291139
20910,2021-03-23 03:00:00,92,False,0.045454545454545456
20911,2021-03-23 04:00:00,100,False,0.08695652173913043
20912,2021-03-23 05:00:00,96,False,-0.04
20913,2021-03-23 06:00:00,89,False,-0.07291666666666667
20914,2021-03-23 07:00:00,90,False,0.011235955056179775
20915,2021-03-23 08:00:00,93,False,0.03333333333333333
20916,2021-03-23 09:00:00,93,False,0.0
20917,2021-03-23 10:00:00,90,False,-0.03225806451612903
20918,2021-03-23 11:00:00,79,False,-0.12222222222222222
20919,2021-03-23 12:00:00,84,False,0.06329113924050633
20920,2021-03-23 13:00:00,89,False,0.05952380952380952
20921,2021-03-23 14:00:00,93,False,0.0449438202247191
20922,2021-03-23 15:00:00,90,False,-0.03225806451612903
20923,2021-03-23 16:00:00,85,False,-0.05555555555555555
20924,2021-03-23 17:00:00,81,False,-0.047058823529411764
20925,2021-03-23 18:00:00,79,False,-0.024691358024691357
20926,2021-03-23 19:00:00,80,False,0.012658227848101266
20927,2021-03-23 20:00:00,77,False,-0.0375
20928,2021-03-23 21:00:00,76,False,-0.012987012987012988
20929,2021-03-23 22:00:00,74,False,-0.02631578947368421
20930,2021-03-23 23:00:00,75,False,0.013513513513513514
20931,2021-03-24 00:00:00,76,False,0.013333333333333334
20932,2021-03-24 01:00:00,79,False,0.039473684210526314
